Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;11;22;00;00;5.32;2.90;5.90;128.81
2019;11;22;01;00;5.07;3.60;5.87;132.93
2019;11;22;02;00;4.92;4.20;5.40;128.99
2019;11;22;03;00;5.42;4.00;4.81;135.00
2019;11;22;04;00;5.73;5.10;4.64;142.88
2019;11;22;05;00;6.25;4.40;4.39;155.77
2019;11;22;06;00;6.66;3.20;4.22;174.56
2019;11;22;07;00;6.98;1.80;3.71;184.64
2019;11;22;08;00;7.16;0.70;3.50;181.64
2019;11;22;09;00;7.65;0.10;3.70;178.45
2019;11;22;10;00;8.23;0.00;4.30;180.00
2019;11;22;11;00;8.55;0.10;4.92;184.67
2019;11;22;12;00;8.52;0.40;5.89;189.78
2019;11;22;13;00;8.30;1.30;6.77;196.29
2019;11;22;14;00;8.22;0.80;8.10;205.62
2019;11;22;15;00;7.68;1.00;8.44;211.43
2019;11;22;16;00;7.49;0.50;8.88;213.51
2019;11;22;17;00;7.42;0.40;9.18;213.00
2019;11;22;18;00;7.24;1.00;9.68;218.29
2019;11;22;19;00;7.15;0.50;9.94;229.90
2019;11;22;20;00;7.08;0.00;8.66;233.92
2019;11;22;21;00;7.08;0.00;7.44;228.81
2019;11;22;22;00;6.98;0.40;6.94;222.66
2019;11;22;23;00;7.02;0.30;7.21;226.12
2019;11;23;00;00;6.98;0.30;7.25;230.60
2019;11;23;01;00;6.84;0.60;7.00;233.13
2019;11;23;02;00;6.70;0.20;6.82;235.15
2019;11;23;03;00;6.58;0.00;3.86;201.25
2019;11;23;04;00;6.29;0.00;2.80;145.18
2019;11;23;05;00;6.12;0.00;2.64;127.30
2019;11;23;06;00;5.79;0.20;2.77;115.64
2019;11;23;07;00;5.67;0.30;3.00;115.71
2019;11;23;08;00;5.73;1.20;3.20;110.14
2019;11;23;09;00;5.90;2.00;3.40;103.63
2019;11;23;10;00;6.01;2.50;3.44;98.37
2019;11;23;11;00;6.16;2.40;3.32;96.91
2019;11;23;12;00;6.29;2.80;2.75;109.09
2019;11;23;13;00;6.52;3.20;1.92;141.34
2019;11;23;14;00;6.77;2.10;2.35;192.26
2019;11;23;15;00;6.77;0.70;2.92;202.17
2019;11;23;16;00;5.97;0.00;2.72;173.66
2019;11;23;17;00;4.65;0.00;3.30;180.00
2019;11;23;18;00;4.60;0.00;3.42;186.71
